Time	"Time Code"	"Country Name"	"Country Code"	"Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS]"	"Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS]"	"Arms exports (SIPRI trend indicator values) [MS.MIL.XPRT.KD]"	"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]"	"Children out of school (% of primary school age) [SE.PRM.UNER.ZS]"	"CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]"	"GDP per capita (current US$) [NY.GDP.PCAP.CD]"	"GINI index (World Bank estimate) [SI.POV.GINI]"	"Income share held by highest 10% [SI.DST.10TH.10]"	"International migrant stock (% of population) [SM.POP.TOTL.ZS]"	"International tourism, number of arrivals [ST.INT.ARVL]"	"Land area (sq. km) [AG.LND.TOTL.K2]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Net migration [SM.POP.NETM]"	"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]"	"Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]"	"Population in the largest city (% of urban population) [EN.URB.LCTY.UR.ZS]"	"Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS]"	"Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS]"	"Rural population (% of total population) [SP.RUR.TOTL.ZS]"	"Smoking prevalence, total (ages 15+) [SH.PRV.SMOK]"	"Suicide mortality rate (per 100,000 population) [SH.STA.SUIC.P5]"	"Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant) [SP.MTR.1519.ZS]"	"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]"
2013	"YR2013"	"Oman"	"OMN"	"0"	"2.41446748919526"	""	""	"0.25916"	"16.3031673619218"	"20926.5540495711"	""	""	""	"1392000"	"309500"	"76.388"	""	"2.0674"	"22.617871943468"	"32.1991424876076"	"5.1"	"1.2"	"21.118"	"10.6"	""	""	"4.16400003433228"
2013	"YR2013"	"Pakistan"	"PAK"	"4.00054033014265"	"1.4947031319771"	""	""	"32.6043"	"0.859160807851102"	"1208.90431029644"	"30.7"	"26"	""	""	"770880"	"66.117"	""	""	"36.5881428942635"	"19.9561714228005"	"21"	"20.7"	"64.387"	"20.7"	""	"7.9"	"2.9539999961853"
2013	"YR2013"	"Palau"	"PLW"	""	""	""	"22.7856426814446"	"3.2449"	"14.5796887424742"	"12799.3695331137"	""	""	""	"108000"	"460"	""	""	""	""	""	""	"0"	"23.138"	"17.5"	""	""	""
2013	"YR2013"	"Panama"	"PAN"	"9.34930385926325"	"0.671225405881613"	""	""	"6.39787"	"2.79463357108981"	"11889.1276274385"	"51.5"	"39.6"	""	"1658000"	"74340"	"77.386"	""	"1.5808"	"28.3795188811699"	"63.2892065668713"	"9.8"	"8.5"	"33.948"	"7.2"	""	""	"2.29999995231628"
2013	"YR2013"	"Papua New Guinea"	"PNG"	""	"0.0812482467483596"	""	""	""	"0.7942896718303"	"2729.87555089863"	""	""	""	"174000"	"452860"	"62.892"	""	""	"37.4777938415948"	"32.7700697286046"	""	"2.7"	"87.022"	"39.8"	""	""	"2.71099996566772"
2013	"YR2013"	"Paraguay"	"PRY"	"15.6964751065647"	"0.799062600667759"	""	""	""	"0.834756314478833"	"5926.83286284344"	"47.9"	"37.3"	""	"610000"	"397300"	"73.274"	""	""	"31.3678252657798"	"71.6741375522424"	"12.1"	"17.5"	"39.803"	"15.6"	""	""	"4.38500022888184"
2013	"YR2013"	"Peru"	"PER"	"8.43171079816171"	"1.16128233876457"	""	"18.3944203835345"	""	"1.91959048010601"	"6756.75276926556"	"43.9"	"32.7"	""	"3164000"	"1280000"	"75.258"	""	""	"28.7750243190474"	"41.2049761164645"	"9.2"	"21.5"	"23.011"	"5.7"	""	""	"3.23699998855591"
2013	"YR2013"	"Philippines"	"PHL"	"3.09709334037404"	"0.401647906756723"	""	"49.236877231987"	""	"0.992488921383575"	"2749.38663574006"	""	""	""	"4681000"	"298170"	"70.315"	""	""	"32.9738335763001"	"27.4577537265664"	"14.2"	"27.1"	"54.097"	"25.9"	""	"10.1"	"3.49699997901917"
2013	"YR2013"	"Poland"	"POL"	"0.748831705149234"	"0.94459338973874"	"142000000"	""	"3.51952"	"7.94628250601022"	"13781.0626053813"	"33.1"	"25.3"	""	"15800000"	"306210"	"77"	""	"2.2252"	"14.8902717516342"	"7.47867893430502"	"2.5"	"23.7"	"39.471"	"30"	""	""	"10.326000213623"
2013	"YR2013"	"Portugal"	"PRT"	"10.0140348015673"	"1.50738050116013"	""	""	"0.08301"	"4.3440293115954"	"21618.7353389663"	"36.2"	"27.5"	""	"9177000"	"91605.1953125"	"80.7219512195122"	""	"4.2322"	"14.4378494037203"	"43.777273338647"	"2.5"	"28.7"	"37.648"	"23.1"	""	""	"16.1830005645752"
